ID,User,Status,Date Created,Date Completed,Recipient Name,Phone,Address,Category,Price
21,Вася,В ожидании,2025-01-15 17:41:53,Не завершён,6,6,6,Цветы,300.00
20,admin,В ожидании,2025-01-15 17:33:27,Не завершён,5,5,5,Букеты,1300.00
19,admin,В ожидании,2025-01-15 16:09:10,Не завершён,4,4,4,Букеты,1500.00
18,admin,В ожидании,2025-01-14 14:25:44,Не завершён,Вася,123548,"ул. Цветочная, д.55",Букеты,1200.00
17,admin,В обработке,2025-01-14 13:36:04,Не завершён,Вася,123548,"ул. Цветочная, д.11",Букеты,1200.00
16,Петр,В обработке,2025-01-14 15:48:40,Не завершён,3,3,3,Цветы,300.00
15,admin,В обработке,2025-01-14 15:45:11,Не завершён,3,2,2,Цветы,300.00
14,admin,В обработке,2025-01-14 14:00:25,Не завершён,2,2,2,Букеты,1500.00
13,admin,В обработке,2025-01-14 13:55:06,Не завершён,1,1,1,Цветы,300.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Букеты,1500.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Букеты,1200.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Букеты,2500.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Букеты,800.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Букеты,1300.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Цветы,50.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Цветы,300.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Цветы,300.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Цветы,20.00
12,admin,Завершён,2025-01-14 11:53:22,2025-01-15 19:48:01,Гуманоид,1234567890,Юпитер,Цветы,300.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Цветы,300.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Цветы,20.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Цветы,300.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Цветы,300.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Цветы,50.00
11,admin,Завершён,2025-01-14 11:48:07,2025-01-15 16:11:54,Тем же,1234567890,Там же,Букеты,1300.00
10,admin,Отменён,2025-01-14 11:46:44,Не завершён,Тот же,1234567890,Туда  же,Букеты,1500.00
9,admin,Отменён,2025-01-14 11:29:55,Не завершён,Официант,1234567890,Ресторан,Букеты,1500.00
9,admin,Отменён,2025-01-14 11:29:55,Не завершён,Официант,1234567890,Ресторан,Букеты,2500.00
9,admin,Отменён,2025-01-14 11:29:55,Не завершён,Официант,1234567890,Ресторан,Букеты,800.00
8,admin,Завершён,2025-01-14 11:24:37,2025-01-14 08:57:17,Рита,1234567890,Город,Цветы,300.00
8,admin,Завершён,2025-01-14 11:24:37,2025-01-14 08:57:17,Рита,1234567890,Город,Букеты,1300.00
8,admin,Завершён,2025-01-14 11:24:37,2025-01-14 08:57:17,Рита,1234567890,Город,Букеты,1200.00
3,admin,Отменён,2025-01-13 17:39:16,Не завершён,Лилу,1234567890,Юпитер,Букеты,800.00
3,admin,Отменён,2025-01-13 17:39:16,Не завершён,Лилу,1234567890,Юпитер,Букеты,2500.00
2,admin,Завершён,2025-01-13 17:05:31,2025-01-14 08:57:17,Заза,1234567890,Марс,Цветы,300.00
2,admin,Завершён,2025-01-13 17:05:31,2025-01-14 08:57:17,Заза,1234567890,Марс,Цветы,300.00
1,admin,Отменён,2025-01-13 17:00:16,Не завершён,Жужа,1234567890,"Луна,55",Цветы,20.00
1,admin,Отменён,2025-01-13 17:00:16,Не завершён,Жужа,1234567890,"Луна,55",Цветы,300.00
